=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBPWc0kBOAXy3AA4MBGcAXQwCgwp8AWcveAWgAZjyAY3zgAxCgmTwZbAGYMANnBYIw+GMGat08vJTLsHJStbwKSBGhnheGfeWp2DqkaICGHzwfAB3fAmsEOwAdADswsNteZ1M4bmRbbDVsUS1tQMUI8NDbWhNksU8vDJQsyJp6JhZoeGRMbC44-kck1zTNHWwqaIZmCBq4WVR63Hw+AVb1dyK3bz94aiQrXQw2GILU9s7weTQYgfN0a0c9h0VvINO4FymZ2fJ5uEXl7CC13ur-CxHG8ZbwDbtYTWKgISp9WJDH5jfhEISuO5zfCLI4rMH5NpbazyWT7fBEb7HDC4s5rDFTSRSB5fSwZXEffr4IaWeG3GZI2qElZ5a4AzFpbYcHmMszDIk88COdG8jaI6mc1GvGhlUKOYWxeLDeVPMXkILUFWOaJ6jAIQ0YHpVEWDb7a57Yi14hZQu1LDKWiEAJ2RQWwB1tDTGCiWrJSQMFTnImGM2Ew9mwCnODNiKF1hlW3g4V3AmDJsYwe2TB2sHBJ+elOeJ3kT9KtsXML3AHArmAlibbpvBn1FLMmKTl2Ee9vIHGNvMeASjFpV+qdcQS2uQtKnvBnjpMA3Gvd8yK5Cen2TCs43Y0WvGsidXh9CQQ9LG9PGovtiBOhPH4I0BWPIifj4BQ5zkABf62EoRb4heGY-gW3gAdmtiFnWAwEsu2AAWW-5QdgtgYbY7xIfghyNgBEoARWuTeLYYLgaK6ChoU7KLmmNjruOu6Nka9B0EAA
13:30:43: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:30:43: [INFO] Matrix size: 8x7
13:30:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:30:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:30:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:44: [INFO] Add COL0 net
13:30:44: [INFO] Add COL1 net
13:30:44: [INFO] Add COL2 net
13:30:44: [INFO] Add COL3 net
13:30:44: [INFO] Add COL4 net
13:30:44: [INFO] Add COL5 net
13:30:44: [INFO] Add COL6 net
13:30:44: [INFO] Add COL7 net
13:30:44: [INFO] Add Net-(D1-A) net
13:30:44: [INFO] Add Net-(D10-A) net
13:30:44: [INFO] Add Net-(D11-A) net
13:30:44: [INFO] Add Net-(D12-A) net
13:30:44: [INFO] Add Net-(D13-A) net
13:30:44: [INFO] Add Net-(D14-A) net
13:30:44: [INFO] Add Net-(D15-A) net
13:30:44: [INFO] Add Net-(D16-A) net
13:30:44: [INFO] Add Net-(D17-A) net
13:30:44: [INFO] Add Net-(D18-A) net
13:30:44: [INFO] Add Net-(D19-A) net
13:30:44: [INFO] Add Net-(D2-A) net
13:30:44: [INFO] Add Net-(D20-A) net
13:30:44: [INFO] Add Net-(D21-A) net
13:30:44: [INFO] Add Net-(D22-A) net
13:30:44: [INFO] Add Net-(D23-A) net
13:30:44: [INFO] Add Net-(D24-A) net
13:30:44: [INFO] Add Net-(D25-A) net
13:30:44: [INFO] Add Net-(D26-A) net
13:30:44: [INFO] Add Net-(D27-A) net
13:30:44: [INFO] Add Net-(D28-A) net
13:30:44: [INFO] Add Net-(D29-A) net
13:30:44: [INFO] Add Net-(D3-A) net
13:30:44: [INFO] Add Net-(D30-A) net
13:30:44: [INFO] Add Net-(D31-A) net
13:30:44: [INFO] Add Net-(D32-A) net
13:30:44: [INFO] Add Net-(D33-A) net
13:30:44: [INFO] Add Net-(D34-A) net
13:30:44: [INFO] Add Net-(D35-A) net
13:30:44: [INFO] Add Net-(D36-A) net
13:30:44: [INFO] Add Net-(D37-A) net
13:30:44: [INFO] Add Net-(D38-A) net
13:30:44: [INFO] Add Net-(D39-A) net
13:30:44: [INFO] Add Net-(D4-A) net
13:30:44: [INFO] Add Net-(D40-A) net
13:30:44: [INFO] Add Net-(D41-A) net
13:30:44: [INFO] Add Net-(D42-A) net
13:30:44: [INFO] Add Net-(D43-A) net
13:30:44: [INFO] Add Net-(D44-A) net
13:30:44: [INFO] Add Net-(D45-A) net
13:30:44: [INFO] Add Net-(D46-A) net
13:30:44: [INFO] Add Net-(D47-A) net
13:30:44: [INFO] Add Net-(D48-A) net
13:30:44: [INFO] Add Net-(D49-A) net
13:30:44: [INFO] Add Net-(D5-A) net
13:30:44: [INFO] Add Net-(D50-A) net
13:30:44: [INFO] Add Net-(D51-A) net
13:30:44: [INFO] Add Net-(D52-A) net
13:30:44: [INFO] Add Net-(D53-A) net
13:30:44: [INFO] Add Net-(D54-A) net
13:30:44: [INFO] Add Net-(D55-A) net
13:30:44: [INFO] Add Net-(D56-A) net
13:30:44: [INFO] Add Net-(D57-A) net
13:30:44: [INFO] Add Net-(D58-A) net
13:30:44: [INFO] Add Net-(D59-A) net
13:30:44: [INFO] Add Net-(D6-A) net
13:30:44: [INFO] Add Net-(D60-A) net
13:30:44: [INFO] Add Net-(D61-A) net
13:30:44: [INFO] Add Net-(D62-A) net
13:30:44: [INFO] Add Net-(D63-A) net
13:30:44: [INFO] Add Net-(D64-A) net
13:30:44: [INFO] Add Net-(D65-A) net
13:30:44: [INFO] Add Net-(D66-A) net
13:30:44: [INFO] Add Net-(D7-A) net
13:30:44: [INFO] Add Net-(D8-A) net
13:30:44: [INFO] Add Net-(D9-A) net
13:30:44: [INFO] Add ROW0 net
13:30:44: [INFO] Add ROW1 net
13:30:44: [INFO] Add ROW2 net
13:30:44: [INFO] Add ROW3 net
13:30:44: [INFO] Add ROW4 net
13:30:44: [INFO] Add ROW5 net
13:30:44: [INFO] Add ROW6 net
13:30:44: [INFO] Add ROW7 net
13:30:44: [INFO] Add ROW8 net
13:30:44: [INFO] Add SW1 footprint
13:30:44: [INFO] Add D1 footprint
13:30:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:30:44: [INFO] Add ST1 footprint
13:30:44: [INFO] Add SW2 footprint
13:30:44: [INFO] Add D2 footprint
13:30:44: [INFO] Add SW3 footprint
13:30:44: [INFO] Add D3 footprint
13:30:44: [INFO] Add SW4 footprint
13:30:44: [INFO] Add D4 footprint
13:30:44: [INFO] Add SW5 footprint
13:30:44: [INFO] Add D5 footprint
13:30:44: [INFO] Add SW6 footprint
13:30:44: [INFO] Add D6 footprint
13:30:44: [INFO] Add SW7 footprint
